OBJECTID,ACRES,FIRE_ID,FIRE_NAME,YEAR,STARTMONTH,STARTDAY,SHAPE_Length,SHAPE_Area,FIRE_TYPE
1,3419,AK5761615232120150828,TWIN CREEKS,2015,8,28,78088.8267565576,48064008.3180224,Wildfire
2,5335,AK5884115754320150622,COPENHAGEN CREEK,2015,6,22,60614.9743454774,80372063.3995286,Wildfire
3,9684,AK5884415640120150621,PAULS CREEK,2015,6,21,95614.8325930694,146018426.024993,Wildfire
4,3208,AK5890415740520150704,COPENHAGEN,2015,7,4,61727.1698540861,48542787.5756651,Wildfire
5,15244,AK5899315855220121102,SNAKE RIVER,2012,11,2,100627.858086487,230897832.317632,Wildfire
6,1526,AK5903315365920030428,KAMISHAK BAY,2003,4,28,54254.1471427972,23257709.5739499,Wildfire
7,1004,AK5905715603519900719,ALAGNAK,1990,7,19,24203.7052253666,15320186.4391238,Wildfire
8,11888,AK5919116014719910630,TWIN,1991,6,30,91880.6350869163,182818196.181132,Wildfire
9,16920,AK5925816024020150622,GECHIAK LAKE,2015,6,22,128921.176312157,261640438.285661,Wildfire
10,2234,AK5955415836020150711,LITTLE KOKWOK,2015,7,11,30505.06594438,35121144.8689303,Wildfire
11,1924,AK5960815825420150621,KOKWOK RIVER,2015,6,21,42225.5906607289,30326508.8651468,Wildfire
12,5697,AK5975315141520050429,TRACY AVE,2005,4,29,70195.6077538531,90566987.1895058,Wildfire
13,5295,AK5978615491320030523,ILIAMNA,2003,5,23,52466.4259163734,84341402.2890695,Wildfire
14,2497,AK6000115759420130728,NUYAKUK RIVER,2013,7,28,35462.0779471556,40276367.0244633,Wildfire
15,1520,AK5674215793820060522,MESHIK RIVER,2006,5,22,26430.8853384303,20399906.3326121,Wildfire
16,4482,AK5759815753720050529,PILOT POINT,2005,5,29,45516.6811379493,62988383.0021793,Wildfire
17,1986,AK6093415398520150622,OLD VILLAGE,2015,6,22,47333.0993040652,33969057.3889492,Wildfire
18,3111,AK6094416033020050803,OTTER CREEK,2005,8,3,78118.5712508176,53183422.5313237,Wildfire
19,8265,AK6095015630120160714,HOOK CREEK,2016,7,14,89481.1039477444,141220641.58297,Wildfire
20,4415,AK6098515498920130728,WHITEFISH LAKE,2013,7,28,46400.1508500525,75666921.7201256,Wildfire
21,3211,AK6102315407620050616,STONY,2005,6,16,50133.9332628909,55199655.5747368,Wildfire
22,16077,AK6104215418920130618,KRISTIN CREEK,2013,6,18,168127.784849867,276828158.923788,Wildfire
23,2267,AK6105016359820160602,AROPUK LAKE,2016,6,2,58652.8584873943,38960925.5081145,Wildfire
24,1380,AK6105916133420160714,GWEEK RIVER,2016,7,14,38509.6600884185,23768611.5777636,Wildfire
25,51940,AK6108315491720150601,CAN CREEK,2015,6,1,458586.426560546,894445539.058858,Wildfire
26,1669,AK6109915112920140519,TYONEK,2014,5,19,36151.3718877952,28818907.2702105,Wildfire
27,15890,AK6112116317120150623,PUK PALIK LAKE,2015,6,23,235520.38194127,274754243.64455,Wildfire
28,4024,AK6117616272720060707,TAKSLESLUK NORTH,2006,7,7,91089.4110101902,69815795.4520966,Wildfire
29,7833,AK6117915918520160715,TIMBER CREEK,2016,7,15,74164.2321117651,135707474.688953,Wildfire
30,9309,AK6118715463620150624,ROCK CREEK,2015,6,24,155122.209201614,161462829.305153,Wildfire
31,26393,AK6120516033620150601,BOGUS CREEK,2015,6,1,178830.130820078,458077545.514543,Wildfire
32,46686,AK6002415119720070619,CARIBOU HILLS,2007,6,19,280893.185262151,754280425.183463,Wildfire
33,2689,AK6011915081019940830,WINDY POINT,1994,8,30,55075.8005987205,43694265.0390348,Wildfire
34,5230,AK6012815061920040814,GLACIER CREEK,2004,8,14,163499.847005788,85040422.364362,Wildfire
35,9085,AK6015015550020130619,NIKUBUMA LAKE,2013,6,19,131487.996607777,147834796.828053,Wildfire
36,25577,AK6015115098020050711,FOX CREEK WFU,2005,7,11,157014.787180298,416430868.652152,Wildland Fire Use
37,1617,AK6025715983220150620,LITTLE SWIFT CREEK,2015,6,20,32138.6896593175,26520233.7499283,Wildfire
38,1986,AK6027615391520130627,CURRANT CREEK,2013,6,27,53973.9267061748,32630119.5118773,Wildfire
39,2419,AK6030315782720150623,KING SALMON RIVER 1,2015,6,23,44727.7017071516,39754490.768435,Wildfire
40,14474,AK6037615081420090630,SHANTA CREEK,2009,6,30,202723.251516011,238620976.429278,Wildland Fire Use
41,1986,AK6038615043820070729,SWAN LAKE,2007,7,29,37626.0079974123,32800320.2241672,Prescribed Fire
42,1067,AK6040215016520050706,IRISH CHANNEL,2005,7,6,34201.3489432329,17626497.834706,Wildland Fire Use
43,3319,AK6041514945920010625,KENAI LAKE,2001,6,25,54356.0020236289,54907058.3323436,Wildfire
44,8769,AK6041515002719910519,POTHOLE,1991,5,19,161133.127928465,145074328.154864,Wildfire
45,10124,AK6041715053220050626,KING COUNTY CREEK,2005,6,26,84042.606602415,167522609.315228,Wildfire
46,5712,AK6042816107220100531,HAWK RIVER,2010,5,31,50061.7541339465,94574619.2964218,Prescribed Fire
47,193799,AK6043915096220140520,FUNNY RIVER,2014,5,20,480484.876268328,3191913280.68168,Wildfire
48,7367,AK6051015063620150615,CARD STREET,2015,6,15,141823.751562513,122464277.734259,Wildfire
49,1435,AK6057715534020160716,CHILIKADROTNA RIVER,2016,7,16,38811.3192703584,23991645.7457379,Wildfire
50,4628,AK6070715747820150622,CHICHITNOK RIVER,2015,6,22,113246.117428705,77849823.5991516,Wildfire
51,1002,AK6071715870020150624,GEMUK RIVER,2015,6,24,35604.7564493079,16893168.4258787,Wildfire
52,5470,AK6077715779519890703,SHOTGUN DR.,1989,7,3,92730.2622929451,92552517.1610766,Wildfire
53,23912,AK6078416129320150624,KWETHLUK RIVER 2,2015,6,24,176919.251419986,404816653.484976,Wildfire
54,39019,AK6089416075820150620,FOG RIVER,2015,6,20,260193.089581084,666387379.289498,Wildfire
55,3003,AK6138716289620070705,NOYUK,2007,7,5,65406.7257218898,52801489.925009,Wildland Fire Use
56,8682,AK6140215694520090526,HOHOLITNA,2009,5,26,156118.472275123,152531203.304482,Wildfire
57,5911,AK6141415853019890704,KOGOYUK,1989,7,4,62888.1429032579,104101363.420774,Wildfire
58,1624,AK6143315686420020622,HOHOLITNA,2002,6,22,28514.4029246714,28634584.631768,Wildfire
59,1244,AK6144314351520110530,GILAHINA,2011,5,30,34676.7725193769,21968673.8598315,Wildfire
60,193968,AK6145515569120130531,LIME HILLS,2013,5,31,1119084.79369286,3439724909.7331,Wildfire
61,3166,AK6145515688920130626,HOHOLITNA,2013,6,26,52791.0591386022,55863318.1054874,Wildfire
62,2304,AK6147815785720150620,OSKAWALIK RIVER,2015,6,20,48002.5220332756,40694595.0635169,Wildfire
63,2504,AK6149015915820160714,DOESTOCK CREEK,2016,7,14,47752.5507567112,44285775.5368376,Wildfire
64,46360,AK6149815578120150620,WHY LAKE,2015,6,20,315682.429918879,820767575.318077,Wildfire
65,20058,AK6152115482220050627,SWIFT,2005,6,27,175819.196376782,355695511.075522,Wildfire
66,4253,AK6153316044220020519,KALSKAG,2002,5,19,67267.7120526952,75484507.2794959,Wildfire
67,3573,AK6158415540919940613,GAGARYAH 2,1994,6,13,98405.0121569908,63616113.5558336,Wildfire
68,1841,AK6158915685920090525,BIG LAKE,2009,5,25,57951.6413058316,32785835.4802222,Wildfire
69,1138,AK6159015666120150621,BASKET CREEK #2,2015,6,21,31072.6785402099,20262654.7004651,Wildfire
70,2248,AK6162315989220090617,WINTER TRAIL,2009,6,17,60880.7285393974,40130357.7591668,Wildfire
71,4903,AK6164015534020130730,GAGARYAH 2,2013,7,30,102322.4300307,87651739.7366146,Wildfire
72,8459,AK6122415515419910630,STONEY,1991,6,30,102825.886775633,147197722.674207,Wildfire
73,2896,AK6122715729519910703,KULUKBUK,1991,7,3,56697.7521703619,50397779.8881766,Wildfire
74,11313,AK6123115454019900703,ROCK CREEK,1990,7,3,121546.584025255,196954878.908249,Wildfire
75,24635,AK6124915895920130530,DOESTOCK CREEK,2013,5,30,162341.620457807,429010729.228467,Wildfire
76,56374,AK6126114312320090702,CHAKINA,2009,7,2,320468.506359402,983280093.249026,Wildfire
77,4528,AK6126916028820160714,BOGUS CREEK,2016,7,14,124606.7205918,79082967.3787054,Wildfire
78,1333,AK6127415747820150711,CHUILNUK RIVER,2015,7,11,28016.552821631,23261788.9716017,Wildfire
79,22827,AK6129414325120160716,STEAMBOAT CREEK,2016,7,16,286037.057068867,397942114.013757,Wildfire
80,3689,AK6130215976320080706,DISCOVERY SOUTH,2008,7,6,40846.3222967797,64517388.4753417,Wildland Fire Use
81,23341,AK6130716321820150623,IZAVLKNEK RIVER,2015,6,23,206693.017121822,407349617.178537,Wildfire
82,19915,AK6131716358820020618,AROPUK,2002,6,18,181114.656701926,348586143.141335,Wildfire
83,31490,AK6131915985520150624,OPHIR CREEK,2015,6,24,255165.265033179,550864384.564799,Wildfire
84,70232,AK6133716252320150622,KUKA CREEK 4,2015,6,22,493014.018093039,1226915638.08691,Wildfire
85,6179,AK6135616082720160714,ISRATHORAK CREEK,2016,7,14,92083.5468736882,108426518.584843,Wildfire
