latitude,longitude,brightness,scan,track,acq_date,acq_time,satellite,confidence,version,bright_t31,frp,daynight
30.943,-88.01700000000001,303.2,1.0,1.0,2020-09-30,405,T,54,6.0NRT,286.7,7.7,N
19.397000000000002,-92.04899999999999,305.3,1.8,1.3,2020-09-30,400,T,25,6.0NRT,274.9,14.7,N
19.566,-92.23200000000001,314.0,1.9,1.3,2020-09-30,400,T,84,6.0NRT,283.2,29.5,N
19.563,-92.249,312.3,1.9,1.3,2020-09-30,400,T,78,6.0NRT,282.1,26.9,N
19.56,-92.236,305.7,1.9,1.3,2020-09-30,400,T,35,6.0NRT,280.6,15.5,N
19.572,-92.238,311.9,1.9,1.3,2020-09-30,400,T,77,6.0NRT,285.0,25.1,N
41.635,-87.147,302.9,1.4,1.2,2020-09-30,410,T,52,6.0NRT,282.8,13.9,N
41.048,-106.21600000000001,312.7,4.5,2.0,2020-09-30,410,T,74,6.0NRT,280.2,124.9,N
41.033,-106.26899999999999,337.7,4.5,2.0,2020-09-30,410,T,100,6.0NRT,281.2,379.5,N
41.06399999999999,-106.225,367.8,4.5,2.0,2020-09-30,410,T,100,6.0NRT,283.6,977.5,N
41.05,-106.277,398.0,4.5,2.0,2020-09-30,410,T,100,6.0NRT,291.4,2170.7,N
41.035,-106.33,309.6,4.6,2.0,2020-09-30,410,T,65,6.0NRT,278.5,105.5,N
41.049,-106.223,344.8,4.5,2.0,2020-09-30,410,T,100,6.0NRT,281.9,485.3,N
41.034,-106.27600000000001,353.1,4.5,2.0,2020-09-30,410,T,100,6.0NRT,281.9,644.3,N
41.065,-106.23200000000001,367.6,4.5,2.0,2020-09-30,410,T,100,6.0NRT,284.4,982.2,N
41.05,-106.285,382.5,4.5,2.0,2020-09-30,410,T,100,6.0NRT,289.8,1479.8,N
41.036,-106.337,315.0,4.6,2.0,2020-09-30,410,T,90,6.0NRT,278.9,144.2,N
41.067,-106.29299999999999,406.2,4.5,2.0,2020-09-30,410,T,100,6.0NRT,292.4,2623.4,N
41.053000000000004,-106.34299999999999,432.8,4.6,2.0,2020-09-30,410,T,100,6.0NRT,306.9,4631.5,N
41.038000000000004,-106.398,321.6,4.6,2.0,2020-09-30,410,T,100,6.0NRT,281.3,202.5,N
41.083,-106.301,316.5,4.5,2.0,2020-09-30,410,T,83,6.0NRT,280.6,155.9,N
41.068999999999996,-106.352,362.0,4.6,2.0,2020-09-30,410,T,100,6.0NRT,292.5,849.0,N
41.053999999999995,-106.406,329.1,4.6,2.0,2020-09-30,410,T,100,6.0NRT,285.1,277.2,N
41.086000000000006,-106.359,311.7,4.6,2.0,2020-09-30,410,T,35,6.0NRT,283.6,120.6,N
41.071000000000005,-106.414,319.5,4.6,2.0,2020-09-30,410,T,99,6.0NRT,283.1,185.0,N
41.104,-106.43,316.7,4.6,2.0,2020-09-30,410,T,88,6.0NRT,281.8,164.3,N
41.068000000000005,-106.29899999999999,404.4,4.5,2.0,2020-09-30,410,T,100,6.0NRT,294.2,2519.8,N
